Ethnicity,Age,Gender,SocioeconomicStatus,DisabilityStatus,Outcome
White,48,Female,Low,No,0
White,61,Female,High,No,1
Black,65,Male,Low,No,0
White,41,Female,Medium,Yes,0
White,66,Female,High,No,0
White,27,Female,Medium,No,0
Black,66,Male,Low,No,0
White,66,Male,Medium,No,0
Black,67,Male,Low,No,1
White,19,Male,High,No,0
Black,48,Female,High,No,0
Asian,42,Male,High,Yes,1
White,21,Female,High,No,0
White,68,Male,High,Yes,0
White,28,Male,Low,No,1
White,34,Female,High,Yes,0
Black,61,Male,Medium,No,1
White,19,Female,Medium,No,0
White,23,Male,Low,No,1
White,26,Male,Low,No,1
White,22,Female,Low,Yes,0
Black,37,Female,Low,No,0
White,46,Male,Low,No,0
Mixed,38,Male,Low,No,0
Black,26,Female,Low,No,0
White,45,Female,High,No,1
White,25,Female,Medium,No,0
Black,48,Male,Medium,No,1
White,37,Female,Medium,No,0
White,44,Male,High,No,1
White,25,Male,Medium,No,1
White,38,Female,Low,No,1
Asian,45,Male,High,Yes,0
White,40,Male,Low,No,1
White,23,Male,Low,No,0
Black,20,Male,Low,No,1
Asian,22,Female,Low,No,0
White,26,Female,Low,No,0
Asian,24,Male,Medium,No,1
White,21,Female,High,No,1
Asian,56,Female,Medium,No,0
White,22,Female,Low,No,1
White,28,Male,Low,Yes,1
Asian,32,Female,Low,Yes,1
White,51,Female,High,No,1
Mixed,30,Male,Medium,No,0
White,65,Male,Medium,No,1
Black,24,Male,High,No,0
Black,57,Female,High,No,1
White,23,Male,High,No,1
Asian,56,Female,Low,No,1
White,67,Male,High,No,1
Black,47,Female,High,No,1
White,39,Male,Low,No,1
Asian,42,Female,Medium,No,0
White,45,Female,High,No,1
White,37,Male,High,No,0
White,56,Male,High,No,1
White,20,Male,High,No,1
Asian,22,Female,High,No,1
Asian,18,Female,Medium,No,0
Asian,32,Male,High,No,1
White,43,Male,Medium,No,1
White,20,Male,Low,No,1
White,57,Female,Medium,No,0
Black,58,Female,Low,Yes,1
Mixed,64,Female,Medium,Yes,1
White,59,Male,Medium,No,1
White,51,Male,Low,No,1
White,69,Female,High,No,0
Asian,22,Male,High,No,0
Asian,48,Female,Medium,No,0
Asian,68,Male,Medium,Yes,0
White,30,Male,Low,Yes,1
Asian,60,Female,Low,No,0
Asian,18,Female,Medium,No,0
White,39,Female,Medium,No,0
White,32,Male,Medium,No,1
White,43,Male,Low,No,0
White,35,Female,Low,Yes,0
Black,65,Female,Low,Yes,0
White,26,Female,High,No,0
Black,18,Male,Low,No,1
White,60,Female,High,No,0
White,26,Female,High,No,1
