Ethnicity,Age,Gender,SocioeconomicStatus,Region,Outcome
Black,35,Female,High,London,0
Mixed,29,Female,Low,North,0
Asian,55,Female,Low,London,0
Black,59,Male,High,North,1
Asian,53,Male,Low,South,1
White,33,Female,Medium,North,1
Black,18,Male,High,London,0
Mixed,20,Female,Medium,London,1
Black,56,Male,High,London,0
Asian,52,Male,High,North,0
Asian,32,Male,Low,London,0
White,55,Male,Low,London,0
Mixed,33,Female,High,South,0
Asian,34,Female,Low,London,0
Asian,51,Male,High,South,0
Asian,27,Female,High,South,1
White,28,Male,High,South,0
White,45,Male,High,South,1
Black,44,Female,Medium,London,1
Mixed,55,Male,Low,London,0
Mixed,35,Female,High,London,1
Mixed,64,Female,Medium,London,0
Mixed,65,Male,Low,London,0
White,47,Male,High,South,0
White,30,Male,Low,London,1
White,33,Male,Medium,London,1
Black,19,Female,High,South,1
Black,37,Male,Low,London,0
Black,29,Male,High,North,0
Asian,46,Female,High,London,1
Asian,63,Female,Medium,South,1
Black,25,Female,Medium,North,1
White,55,Female,Low,North,0
Mixed,63,Female,Medium,London,0
Mixed,64,Female,Medium,South,0
Asian,37,Male,Medium,London,1
Black,52,Female,Medium,South,0
Black,56,Male,Low,South,0
White,48,Female,Low,North,1
White,33,Male,Medium,North,0
White,40,Female,High,London,1
Black,51,Female,Medium,North,1
White,49,Female,High,South,0
Mixed,34,Male,Medium,London,1
Mixed,60,Male,High,South,1
White,41,Female,Low,South,0
White,52,Male,High,North,1
Black,40,Female,Low,North,1
Mixed,25,Female,High,London,1
Asian,40,Female,Medium,London,1
Black,38,Male,Low,London,0
Mixed,36,Male,High,North,0
Asian,48,Female,Low,South,1
White,67,Male,Medium,North,0
Mixed,24,Female,Low,North,1
White,65,Female,Low,London,0
White,41,Male,High,South,1
Asian,63,Female,Low,North,0
White,25,Female,High,North,1
Mixed,30,Female,High,South,1
Asian,20,Female,High,South,1
Mixed,51,Male,High,North,0
White,30,Male,Medium,South,0
White,49,Female,Medium,North,1
Black,52,Male,Low,South,1
Mixed,38,Female,Medium,North,0
White,18,Female,Low,London,0
Black,19,Female,High,South,0
White,59,Female,High,London,1
Mixed,60,Female,Low,London,0
Mixed,43,Male,Low,London,0
Black,20,Male,Low,North,0
Black,41,Male,Medium,London,1
White,43,Male,High,North,1
White,25,Female,High,South,0
White,64,Female,Medium,London,0
Asian,54,Male,Medium,South,1
Mixed,25,Male,Medium,London,0
Asian,35,Female,Medium,London,0
White,35,Female,Low,North,1
Mixed,29,Male,Low,South,1
Mixed,53,Male,High,London,1
Asian,57,Female,Medium,North,0
Black,19,Male,High,London,0
White,37,Female,High,South,1
Asian,20,Female,Low,London,0
Asian,57,Male,Low,North,0
Mixed,61,Male,Low,South,0
Black,51,Female,High,North,1
Mixed,66,Male,Low,South,1
White,63,Male,High,South,0
Asian,63,Female,Low,North,0
White,23,Male,Medium,North,1
Mixed,57,Female,High,London,1
White,27,Female,High,South,1
Asian,41,Female,High,London,0
White,35,Male,Medium,South,0
Black,50,Male,Low,London,1
Asian,56,Male,High,London,1
Asian,24,Female,Medium,London,0
White,62,Male,Low,North,1
Black,65,Male,Medium,London,0
Black,61,Female,Medium,London,0
Mixed,46,Female,Low,London,0
